title,year,vote_average,vote_count,popularity,overview,genres,production_countries,poster_path
Born to Raise Hell,2010,4.655,110,6.7822,"A hard core Interpol Agent is assigned to an Eastern European task force to target gun trafficking and dope running throughout the Balkans. While investigating a Russian gun dealer, his team is caught in a bloody street war between a Gypsy gang and the Russians, leaving one task force member dead. Fueled with vengeance, he leads us on an action packed thrill ride while avenging his friend's death.",[],[],https://image.tmdb.org/t/p/w500/arH52UwfIEKuzUR0qZrm2E1r0Rh.jpg
Necronos: Tower of Doom,2010,4.9,15,6.6824,"Necronos, one of the mightiest minions of the devil himself has come to earth to create an invincible army of the undead under leadership of barbaric demons, called Berzerkers. To achieve his goal Necronos needs numerous often very macabre and difficult to come by ingredients. So Satan sends him two assistants to achieve his goal - Goran, a Blood Demon and footman loyal to Necronos as well as The Mighty Witch to locate the chosen one - a virgin witch.",[],[],https://image.tmdb.org/t/p/w500/wM521yuhfGfDnjfCqr07iILJBAW.jpg
Tucker and Dale vs. Evil,2010,7.389,2966,6.5887,"Two hillbillies are suspected of being killers by a group of paranoid college kids camping near the duo's West Virginian cabin. As the body count climbs, so does the fear and confusion as the college kids try to seek revenge against the pair.",[],[],https://image.tmdb.org/t/p/w500/8shwLEDzajJGSfLgbpac8x8xn1U.jpg
Green Zone,2010,6.488,2284,6.5877,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors are dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",[],[],https://image.tmdb.org/t/p/w500/czFIaeukSxNEccysQeys1PCkuOG.jpg
Blue Valentine,2011,6.954,3395,6.9026,"Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.",[],[],https://image.tmdb.org/t/p/w500/dc8BdKnDY5Iy28KzUGtHIXuqqFK.jpg
The Losers,2010,6.3,1885,6.7009,"On a mission deep in the Bolivian jungle, a team of elite commandos finds itself on the receiving end of a lethal betrayal. Now presumed dead, the men join forces with a mysterious operative named Aisha to hunt down their enemy and even the score.",[],[],https://image.tmdb.org/t/p/w500/b9dVH0n7YnBqLmW2c5AzftxhhpH.jpg
Scared Shrekless,2010,6.696,491,6.5783,"Shrek challenges Donkey, Puss in Boots and his other fairy tale character friends to spend the night in Lord Farquaad's haunted castle, telling scary stories to see who can resist becoming scared and stay the longest.",[],[],https://image.tmdb.org/t/p/w500/aAQQJhX8NqKZ7ZNDUPQQKi1wK8h.jpg
Waste Land,2010,7.566,122,6.3171,"An uplifting feature documentary highlighting the transformative power of art and the beauty of the human spirit. Top-selling contemporary artist Vik Muniz takes us on an emotional journey from Jardim Gramacho, the world's largest landfill on the outskirts of Rio de Janeiro, to the heights of international art stardom. Vik collaborates with the brilliant catadores, pickers of recyclable materials, true Shakespearean characters who live and work in the garbage quoting Machiavelli and showing us how to recycle ourselves.",[],[],https://image.tmdb.org/t/p/w500/tJf0LR1nxvtePFnKtp4TKXnryRl.jpg
Camp Rock 2: The Final Jam,2010,6.332,1545,7.0872,"Mitchie can't wait to go back to Camp Rock and spend the summer making new music with her friends and superstar Shane Gray. But the slick new camp across the lake, Camp Star, has drummed up some serious competition – featuring newcomers Luke and Dana. In a sensational battle of the bands, with Camp Rock's future at stake, will Camp Star's flashy production and over-the-top antics win out, or will Camp Rockers prove that music, teamwork, and spirit are what truly matter?",[],[],https://image.tmdb.org/t/p/w500/8RSdWqC259zR72Jjo6ANAM4ndhM.jpg
Unthinkable,2010,6.796,1343,6.8288,The government gets wind of a plot to destroy America involving a trio of nuclear weapons for which the whereabouts are unknown. It's up to a seasoned interrogator and an FBI agent to find out exactly where the nukes are.,[],[],https://image.tmdb.org/t/p/w500/6yQqguytl10FhImngDHV90Aqewa.jpg
When in Rome,2010,5.9,1242,6.7,"Disillusioned with romance, Beth, an ambitious New Yorker, travels to Rome for her sister's wedding, where she plucks magic coins from a special fountain of love. The coins attract unwanted attention from an assortment of odd yet ardent suitors:  a sausage merchant, a street magician, an artist, and a male model. But when the best man from the wedding, persistent reporter Nick, throws his hat in the ring, Beth wonders if his love is the real thing.",[],[],https://image.tmdb.org/t/p/w500/pteIGpJpgh2aUh3jMqZnomB1rw1.jpg
Sex and the City 2,2010,6.1,1684,6.887,"Carrie, Charlotte, and Miranda are all married now, but they're still up for a little fun in the sun. When Samantha gets the chance to visit one of the most extravagant vacation destinations on the planet and offers to bring them all along, they surmise that a women-only retreat may be the perfect excuse to eschew their responsibilities and remember what life was like before they decided to settle down.",[],[],https://image.tmdb.org/t/p/w500/iHSRxhZsPaVuLCivvV6WEkMVGWU.jpg
