Total Sutradara: 1385
Total Film: 3333
Rata-rata film per sutradara: 2.41

Daftar Lengkap Sutradara:
--------------------------------------------------
                            Sutradara  Jumlah Film
                 Handre Sastrosoegito            1
                        Zamri Zakaria            1
                        Ivan Alvameiz            1
                       Salvador SimÃ³            1
                       Fuad Pae Akbar            1
                          Yan Senjaya            1
                        Heri Kiswanto            1
                       Ferdinand Almi            1
                        Aryo Danusiri            1
                           Shakuntala            1
                 Tunggul Banjaransari            1
             Charlotte Cynthia Wijaya            1
                           Dana Putra            1
                   Intan Rizky Mutiaz            1
                        Erry Petrucci            1
             Maria Rosiana Sedjahtera            1
                          Yuni Etifah            1
                        Yasin Hidayat            1
                         Abdul Aziz M            1
                          Vania Ivena            1
                          Rizqy Vajra            1
                      Lina Nur Aisyah            1
            Anka Atmawijaya Adinegara            1
                Alief Syahru Ramdhani            1
                Dito Tunjung Parahyta            1
                        Revo S. Rurut            1
                            Delon Tio            1
                           Geri Busye            1
                          Willy Dozan            1
                        Ryuken Raissa            1
                      Koko LF Kartiko            1
                     Ian Nguyen Lampa            1
                       Agung NS Nanda            1
                      Hermawan Rianto            1
                       Jerry Yu Ching            1
                       Acha Septriasa            1
                            Ki Kusumo            1
                       Fernes Feriana            1
                         Yosafat Ocha            1
                       Budi Kurniawan            1
                        Nurul Ibrahim            1
                        Adythia Utama            1
                       Tia Liztiawati            1
                         Ascan Breuer            1
                                 Revo            1
                     Dipta Diwangkara            1
                        Dira Nararyya            1
                    Efi Sri Handayani            1
                             Eric Est            1
                     Alvin Ardiansyah            1
                  Caka Trisna Hartono            1
                   Filbert Tanuwijaya            1
                       Yudha Wibisono            1
                        Ariani Djalal            1
              Zed Ridlo Ichsan Azhari            1
                    Gabriella Dhillon            1
                        David Dawkins            1
                   Bastian Meiresonne            1
                             Richyana            1
               Kuswara Sastra Permana            1
                         Indra Birowo            1
                          Ceppy Gober            1
                     Aryanto Yuniawan            1
                   Deddy Raksawardana            1
                          Erna Pelita            1
                        Vijei Al Fajr            1
                       Edo Sitanggang            1
                  Puguh P. S. Admadja            1
                           Fadli Fuad            1
                       Rick Soerafani            1
                          Alvin Chung            1
                         Dienan Silmy            1
                     Bernhard Lengkey            1
                           M. Harmoko            1
                          Zhong Zhang            1
                       Fazrie Permana            1
                          Ihsan Fadli            1
                         Rico Michael            1
                           Shasa Mahe            1
                          Roman Malik            1
                     Hengky Kurniawan            1
                        Reza Oktovian            1
                         Deo Mahameru            1
                        Salman Farizi            1
                        Rayner Wijaya            1
                      Dodid Wijanarko            1
                       Rikky M. Fajar            1
   Ignasius Loyola Weamole Somalinggi            1
                        Ian Adiwibowo            1
               Galang Ekaputra Larope            1
                     Adhi Nauval Ilmi            1
                        Eka Gustiwana            1
                 Narindro Aryo Hutomo            1
                          Jeiji Joned            1
Anak Agung Ngurah Bagus Kesumah Yudha            1
                   Minwari Gunawijaya            1
                          Agus Makkie            1
                         Adjis Doaibu            1
                    Teezar Sjamsuddin            1
                      Tamara Shogaolu            1
                           L.M Begant            1
                    Agung Trihatmodjo            1
                  Haryo Sentanu Murti            1
                       Aming Sugandhi            1
                        Asaf Kharisma            1
                      Deddy Corbuzier            1
                          Ben Nugraha            1
                           Rano Dimas            1
                  Didi Mulyadi Witono            1
                          Irawan Tanu            1
                          Luri G Wara            1
                      Samuel Rustandi            1
                          Aris Martin            1
                     Noor Huda Ismail            1
                           Asril Sani            1
                          Yan Sanjaya            1
                          Alex Latief            1
                             Ali Pare            1
                        Sopian Efendi            1
                       Sigit Pradityo            1
                      Andhika Prayogo            1
                        Askar Izzudin            1
                      Peppiona Cheppy            1
                     Buyung Ispramadi            1
                            Hera Mary            1
                      Yoki P. Soufyan            1
                      Dimas Ragustian            1
                          Ilman Nafai            1
                           Anto Galon            1
               Raeza Raenaldy Sutrimo            1
                               Koharo            1
                       Hilman Fathoni            1
                        Anouk Houtman            1
                   Catherine Febrizia            1
                        Ica Lawendatu            1
                      Rudi P. Saputro            1
                         Theo Maulana            1
                    Nittakarn Intanom            1
                           FX Purnomo            1
                         Yudho Aditya            1
                             Antonius            1
                         Svetlana Dea            1
                           Iwan Wahab            1
                          Yosua Rocky            1
                    Olla Atta Adonara            1
                        Andy Seno Aji            1
                          Happy Salma            1
                  Benazio Rizki Putra            1
                           Daud Radex            1
                      M. Rizky Kurnia            1
                  Seruni Puti Rahmita            1
                     Christ Pelamonia            1
                       Estelle Linden            1
                       Guntoro Sulung            1
                  Eka Wahyu Primadani            1
                        Putri Tanjung            1
                       M. Myrdal Muda            1
                          Katia Engel            1
                         Irawan Restu            1
                         Abdul Rodjak            1
                     Henry Foundation            1
                           Ella Angel            1
                 Dian Septi Trisnanti            1
                           Syaiful HR            1
                          Wahyu Utami            1
                        Andree Sascha            1
                  Andi Syawal Mattuju            1
                  Gilang Bayu Santoso            1
                         Lord Syahrul            1
                     Stanislaus Daryl            1
                           Riszkynoer            1
                     Ashram Shahrivar            1
                           Agus Elias            1
                       M. Irfan Ramli            1
                     Adeodatus Tarika            1
                 Chairul Rijal Juanda            1
                Janwar Fitrah Ramadan            1
                           Amir Pohan            1
                        Qurrata Ayuni            1
                         Okie Siregar            1
                Satria Dedek Suhangga            1
            Raffael Arkapraba Gumelar            1
                                Jun-D            1
                   Rangga Kusmalendra            1
                        Adisurya Abdy            1
                     Rolly Subhandani            1
               Kelvin Nathan Kuwantto            1
                       Syaiful Drajat            1
                         Witra Asliga            1
                             Kan Lume            1
                         Cynthia Wade            1
                         Shyam Ramsay            1
                           Robin Shou            1
                           Uli Rahman            1
                        Poernomo Aziz            1
                        Adi Febrianto            1
                       Pandu Adiputra            1
                    Syarwani Muhammad            1
                     Razny Mahardhika            1
                           Amar Mukhi            1
                        Ariza Yodhyan            1
                 Myrna Paramita Pohan            1
                           Eric Satyo            1
     Benedictus Narendra Prama Sedayu            1
                        Farrel Asalas            1
                          Wulan Putri            1
                     Bara Bantalaseta            1
                           Anto Lupus            1
                  Aca Hasanuddin M.T.            1
                 Rizal Ridwan Firdaus            1
                        Naphtali Ivan            1
                         Nashwan Kafi            1
     Mahesa Dinar Violinando Budiarto            1
                           Ericko Lim            1
                           Ali Eunoia            1
                        Yusril Alfath            1
                     Rayhan Dharmawan            1
                        Reuben Armena            1
                          Farid Ongky            1
                     Gandhi Bramayusa            1
                         Komang Gases            1
                  Eman Memay Harundja            1
                       Yudha Narayana            1
                 Brandon Omar Hetarie            1
                           Ade Raihan            1
                      Eko Aji Nugroho            1
               Rasyiqa Athaya Kuswara            1
                        Jessica Arjay            1
                        Mahesa Desaga            1
             Maria Christina Silalahi            1
                   Haidarjati Pandita            1
                        Arga Savetiar            1
                             Hasmanan            1
                     Andri Sofyansyah            1
                    Alessandra Langit            1
                         Agung Hapsah            1
                  Ibnu Rusd Larantuka            1
                               Arizal            1
                          Ahmad Fazri            1
                           Ron Widodo            1
                      Meira Anastasia            1
                      Haryanto Corakh            1
                       Jum'atul Fitri            1
                         Hadhi Kusuma            1
                       Bridget Reweti            1
                   Ayara Bhanu Kusuma            1
                             Watchdog            1
                     Agus Edi Santoso            1
                               Asumsi            1
                        Dito Darmawan            1
                       H. Tjut Djalil            1
                        Henry Adianto            1
                    Ade Bilal Perdana            1
                      Egi M. Ginanjar            1
                         Derby Romero            1
                         Tepan Kobain            1
                         Amanda Iswan            1
                                Hafiz            1
                         Ruli Wanisar            1
                        Tubagus Deddy            1
                           Fuad Akbar            1
                     Sarjono Sutrisno            1
                  Yudhistira Bayuadji            1
                       Reni Apriliana            1
                Adit Bujbunen Al Buse            1
                  Vena Besta Klaudina            1
                       Steve Wantania            1
                         Ruth Irianty            1
                       Johar Prayudhi            1
                            Adra Noer            1
                       Yogi Syahputra            1
                      Kartika Pratiwi            1
                          Evan Rianto            1
                         Gorda Arriaz            1
                     Abiyoga Harvicky            1
                     Leonnov Soedibjo            1
                         Wibi Aregawa            1
                        Widhi Saputro            1
            Wan Hasliza Wan Zainuddin            1
                  Bayu Adityo Prabowo            1
                          E.G. Bakker            1
                          Peppi Piona            1
                            Ponti Gea            1
               Bagas Oktariyan Ananta            1
                       Daniel Victory            1
                        Hamka Winovan            1
                       Naufal Firdaus            1
                Sisworo Gautama Putra            1
                    Shaifuddin Bahrum            1
                      Jerry Hadiprojo            1
                  Hadafi Raihan Karim            1
                       Arifin C. Noer            1
                           Fanny Azar            1
                        Bounty Umbara            1
                           Tommy Dewo            1
                       Lidia Afrilita            1
                        Halaman Papua            1
                        Tika Pramesti            1
                   Johansyah Jumberan            1
                        Encep Masduki            1
                      Bima Arif Putra            1
                    Syifa Khoerunnisa            1
                            Akil Wasa            1
                         Tim Barretto            1
               M Danindra Surya Prima            1
                      Faridsyah Zikri            1
                     Ismail Soebardjo            1
                               Sim F.            1
                       Riyadi Prabowo            1
                   Giga Cahyo Baskoro            1
                             M. Rizal            1
                     Luviana Ariyanti            1
                        Yuyut Pramana            1
              Jazmin Sheila Ramadhani            1
                          Ihsan Mahza            1
                     Luthfi Dzulfikar            1
                      Mohammad Ifdhal            1
                        Arief Budiman            1
                        Ibrahim Hanif            1
                          Ryo Maestro            1
                          Felina Arni            1
