id;title_existing;original_title;release_date;year;vote_average_existing;vote_count_existing;popularity;overview_existing;genres;director;poster_path_existing;backdrop_path_existing;runtime;status;production_companies;title_tmdb;overview_tmdb;poster_path_tmdb;backdrop_path_tmdb;vote_average_tmdb;vote_count_tmdb;title;overview;poster_path;backdrop_path;vote_average;vote_count;certification
1034749;;Berita Duka Hari Ini;15/10/2022;2022;;;0.0168;;['Drama'];Candra Aditya;;;16.0;Released;carnivalfilms;;;;;0.0;0.0;Berita Duka Hari Ini;;https://image.tmdb.org/t/p/w500/nzIddZG6DDYJ8n8qV7w4VtlaU9V.jpg;;0.0;0.0;
1027562;;Hati-Hati, Hati;05/09/2022;2022;;;0.0261;;['Drama, Keluarga'];Devika Leksono;;;15.0;Released;Kologi Production;;;;;0.0;0.0;Hati-Hati, Hati;;https://image.tmdb.org/t/p/w500/iwwbGrzuN1HcfJggxsa4Ud40q04.jpg;https://image.tmdb.org/t/p/original/pMBJpUuFwqmss77ObaUjMyAKNmq.jpg;0.0;0.0;
1452705;;Hotline 1998;25/11/2022;2022;;;0.0327;;['Dokumenter'];Andrea Suwito;;;21.0;Released;Talamedia, Yayasan Kurawal;;;;;0.0;0.0;Hotline 1998;;https://image.tmdb.org/t/p/w500/8VcjuOVJScp6lB0GsX3hbhAaGyO.jpg;;0.0;0.0;17+
1419454;;Don't Watch Alone;14/07/2022;2022;;;0.0239;;['Kengerian'];Bagas  Wiranata;;;15.0;Released;Walther Production;;;;;0.0;0.0;Don't Watch Alone;;https://image.tmdb.org/t/p/w500/qyTfsBdCVp2FxZfB7gRs0Ar4qhv.jpg;https://image.tmdb.org/t/p/original/oCm3GczBAWgOglX24aODbC1nirm.jpg;0.0;0.0;17+
1140460;;Pitulasan;29/08/2022;2022;;;0.0256;;['Drama'];Zakariya Soekarno;;;8.0;Released;Journexix;;;;;0.0;0.0;Agustusan;Sebuah pencarian jati diri seorang siswa bernama Fathiyah tentang memaknai kembali nilai-nilai nasionalisme di hari kemerdekaan. Dalam perjalanannya, ia menemui banyak tantangan yang tak sependapat dengan jalan pikirannya, mampukah ia?;https://image.tmdb.org/t/p/w500/x3lJIEYavZMSxMOxHF4hYqVmbRH.jpg;https://image.tmdb.org/t/p/original/9w56BxX3shMLh036ItBBX6Seccq.jpg;0.0;0.0;SU
1067939;;Waiting For Your Phone Call;27/08/2022;2022;;;0.0256;;['Drama, Keluarga'];Aldis Elwan;;;14.0;Released;Onen Studios;;;;;0.0;0.0;Waiting For Your Phone Call;;https://image.tmdb.org/t/p/w500/ryquw6NPr89jPD9ZKtjr8RrsMj6.jpg;;0.0;0.0;
1031561;;Aborior;04/02/2022;2022;;;0.0256;;[];Dito Prasetyo;;;7.0;Released;Mondiblanc Film Workshop;;;;;10.0;1.0;Aborior;;https://image.tmdb.org/t/p/w500/nUazdez39o4BlHjM4MHfzcuGbOX.jpg;;10.0;1.0;
1026405;;Tiada Rasa Menyesal di Salon;19/09/2022;2022;;;0.0256;;['Drama'];Shara Octaviani;;;16.0;Released;;;;;;0.0;0.0;Tiada Rasa Menyesal di Salon;;https://image.tmdb.org/t/p/w500/tqBHEfUtURfmYBgGV9qtuJNepXw.jpg;;0.0;0.0;
990829;;Hari Keramat;16/06/2022;2022;;;0.0387;;['Kengerian'];Alif Abimanyu;;;8.0;Released;DDG Production;;;;;0.0;0.0;Hari Keramat;;https://image.tmdb.org/t/p/w500/dDhm754wPIOqSNnui69XUxHwnfS.jpg;;0.0;0.0;
1424472;;Sultan Abdul Muluk;17/05/2022;2022;;;0.0071;;['Drama, Komedi, Aksi, Sejarah'];Annisa Septiani;;;144.0;Released;Gentala, Universitas Sriwijaya;;;;;8.0;1.0;Sultan Abdul Muluk;;https://image.tmdb.org/t/p/w500/8f7XPnyOtbsZhGsfVmDKhQnWXS3.jpg;https://image.tmdb.org/t/p/original/24dtFiNsKgWrTODF44ue0sxVuUJ.jpg;8.0;1.0;13+
1424123;;Kisah Perjuangan Suku Naga;22/11/2022;2022;;;0.0143;;['Drama, Komedi, Sejarah'];Muhammad Zakiul Fikri;;;115.0;Released;Gentala, Universitas Sriwijaya;;;;;9.0;1.0;Kisah Perjuangan Suku Naga;;https://image.tmdb.org/t/p/w500/cro3SaSpjDDHAHTwRpwS8gCtaXh.jpg;https://image.tmdb.org/t/p/original/3v5kM5z5XFOkMJPJf1Ht4hp2jeH.jpg;9.0;1.0;13+
1199906;;Misteri Villa Kayangan;05/01/2022;2022;;;0.0214;;['Kengerian'];Rama DeRanau;;;20.0;Released;Aura Acting Class;;;;;0.0;0.0;Misteri Villa Kayangan;Film ini ber-nostalgia dengan gaya film panas di era 80-90an. Bercerita tentang seorang pengelana yang terpaksa menginap di sebuah villa terpencil.  Villa tersebut dihuni oleh dua orang Wanita cantik yang mengalami terror dari saudara tiri mereka karena memperebutkan harta warisan. Lalu kejadian seram mulai terjadi. Mulai dari terror pembunuhan sampai ke penampakan setan bergentayangan.  Full movie:;;;0.0;0.0;
" https://karyakarsa.com/ramaderanau/the-mystery-of-kayangan-villa-indonesian-horror-b-movie""";https://image.tmdb.org/t/p/w500/xBSbcIXvSDdn8RATDkzOvk5B4z8.jpg;https://image.tmdb.org/t/p/original/oBQXiFLWcQrHVrA48xlUGykpIcU.jpg;0.0;0.0;17+;;;;;;;;;;;;;;;0.0;0.0;;;;;0.0;0.0;
902883;;Larut Kalut;01/11/2022;2022;;;0.0239;;['Drama'];Fathur Novriantomo;;;20.0;Released;Raincinema Pictures;;;;;0.0;0.0;Larut Kalut;;https://image.tmdb.org/t/p/w500/6VQxEgVDVZaZfOGSTgwEb46sWRi.jpg;;0.0;0.0;
1400524;;Tahajud Yang Tersesat;02/06/2022;2022;;;0.0214;;['Kengerian, Drama, Film TV'];Wishnu Kuncoro;;;93.0;Released;Putaar Films;;;;;0.0;0.0;Tahajud Yang Tersesat;;https://image.tmdb.org/t/p/w500/xncTATuCs7A5SEYnWsmeMjmp5Da.jpg;;0.0;0.0;
1355467;;Renjana;09/12/2022;2022;;;0.0143;;['Drama'];Dini Aprilia;;;16.0;Released;Sapakawanan Project;;;;;0.0;0.0;Renjana;Ditengah pandemi ekonomi keluarga Syakila menjadi hancur yang membuat orang tuanya selalu bertengkar setiap hari. Syakila (P/17) hanya bisa bernyanyi untuk bisa menenangkan pikirannya dan mengunggah videonya di Tiktok. Namun karena video yang ia unggah di Tiktok hidupnya semakin runyam.;https://image.tmdb.org/t/p/w500/41mDT8ApMB2UGE5rmburIjkkI0g.jpg;https://image.tmdb.org/t/p/original/h5NlmPN3uwKpeQ2nrntCewdMuhV.jpg;0.0;0.0;13+
1355424;;Detekluh;12/08/2022;2022;;;0.0143;;['Drama, Komedi'];Dinda Salsabila;;;14.0;Released;Papadaan Production, NKRB HOUSE;;;;;0.0;0.0;Detekluh;Seorang penjual gorengan yang menyukai karakter detective conan mencari cara untuk menemukan kembali uang pembayaran rumahnya yang hilang secara misterius.;https://image.tmdb.org/t/p/w500/5N3Uw3Umjyqn1iv77E93pnvh3Qf.jpg;https://image.tmdb.org/t/p/original/oHNLr1Np9eDUzGBvQRnu5vmKHbV.jpg;0.0;0.0;SU
1265707;;Heartbroken dream, but oh well;18/05/2022;2022;;;0.0214;;['Drama'];Keanu Acyuta;;;3.0;Released;;;;;;0.0;0.0;Heartbroken dream, but oh well;;https://image.tmdb.org/t/p/w500/xtExJ3t2AQDuQekiEcrZWfXVg8L.jpg;;0.0;0.0;
