id,title,original_title,release_date,year,vote_average,vote_count,popularity,overview,genres,director,poster_path,backdrop_path,runtime,status,production_companies
600129,#Malam Jumat The Movie,#MalamJumat the Movie,2019-05-16,2019,2.8,5,0.25,"Untuk memberikan pengalaman berbeda pada penontonnya, Ewing mencoba hal baru dengan menjelajah sebuah taman bermain bernama Wonder Park yang telah lama terbengkalai. Bersama dengan timnya, Agan, Oji, Wingky, dan Lulu, mereka menemukan jaket dan topi berinisial RH di taman tersebut. Diduga benda-benda itu milik pelaku bunuh diri, tapi mereka tidak menemukan mayatnya. Seorang gadis bernama Dinda, mengaku sebagai adik pemilik jaket dan topi tersebut. Dia tidak yakin kakaknya bunuh diri. Untuk membuktikan itu, Dinda mengajak Ewing dan timnya untuk kembali ke Wonder Park. Pada kunjungan yang kedua ini, mereka harus menghadapi kenyataan yang lebih mengerikan.","Kengerian, Cerita Seru",Hadrah Daeng Ratu,https://image.tmdb.org/t/p/w500/11RoR7KwO8cnWucg17OPiHPIK8c.jpg,https://image.tmdb.org/t/p/original/qTBAA7gOvKr0EKlh2a0mKYKx3nz.jpg,91,Released,"Blue Water Films, Dee Company"
539050,Kucumbu Tubuh Indahku,Kucumbu Tubuh Indahku,2019-04-18,2019,6.5,17,0.21,"Perjalanan penari lengger lanang, Juno, yang mengalami berbagai trauma kekerasan usai bertemu dari petinju hingga maestro penari Reog hingga berupaya menemukan keindahan tubuhnya sendiri.",Drama,Garin Nugroho,https://image.tmdb.org/t/p/w500/z0PzyRDbU8S3xyQfqECWUvYZexE.jpg,https://image.tmdb.org/t/p/original/66mvMsRcTj1zPgAcaeGN9yHetq8.jpg,106,Released,"Forka Films, Go-Studio"
599809,Kuntilanak 2,Kuntilanak 2,2019-06-04,2019,5.0,8,0.28,"Dinda yang berhasil lepas dari teror Kuntilanak, tanpa persetujuan Tante Donna, berniat untuk menemui seseorang yang diyakini sebagai ibu kandungnya, Karmila. Bersama adik-adiknya dan ditemani Julia dan Edwin, mereka malah terjebak dalam sebuah rumah di tengah hutan. Banyak kejanggalan terjadi. Dinda kembali harus berhadapan dengan Kuntilanak, tetapi berbeda dengan yang pernah dikalahkannya dengan menggunakan paku atau mantra.",Kengerian,Rizal Mantovani,https://image.tmdb.org/t/p/w500/jll3ab5w5tLNFfJfgDgzsHr4jfo.jpg,https://image.tmdb.org/t/p/original/t4mmfJHLdJf0NvFjugbStg3WIXu.jpg,100,Released,MVP Pictures
584178,Ghost Writer,Ghost Writer,2019-06-04,2019,7.1,19,0.3,"Sebuah buku catatan harian tua berisi rahasia kelam. Bagi Galih, buku ini adalah sebuah pembelaan terhadap prasangka kedua orangtuanya. Bagi Naya, buku ini adalah materi bagus untuk novel terbarunya setelah tiga tahun kering ide. Maka sebuah kerjasama beda alam pun dimulai.","Komedi, Drama, Kengerian",Bene Dion Rajagukguk,https://image.tmdb.org/t/p/w500/yFC2FKvWOmxvBPD9YR0qYxdhWvj.jpg,https://image.tmdb.org/t/p/original/glGLUTwtO4IwuGtqew0iVwCJwFW.jpg,97,Released,Starvision Plus
568709,Preman Pensiun,Preman Pensiun,2019-01-17,2019,6.4,9,0.33,"Gobang kembali ke Bandung, mengundang teman-temannya, para mantan preman untuk bertemu kembali. Mereka yang diundang adalah Ujang, Murad, Pipit, Cecep, Bohim, Mang Uu, Dikdik dan Joni. Dikdik kemudian tidak jadi datang karena masalah dengan istrinya.  Dalam pertemuan yang disebut “reuni kecil-kecilan” itu, Gobang meminta bantuan teman-temannya untuk melakukan penyelidikan, siapa pelaku pembantaian terhadap adik iparnya hingga tewas. Pelaku pembantaian kemudian diketahui adalah Darman dan kawan-kawan yang hanya sebagai orang suruhan. Dalang di balik kejadian itu ternyata teman mereka sendiri, sesama bekas anak buah Muslihat yang sebenarnya juga sudah pensiun. Muslihat mencoba mencegah terjadinya perang saudara, tapi Gobang sudah terlanjur datang dengan membawa dendam, “darah dibayar darah, nyawa dibayar nyaw.","Komedi, Drama",Aris Nugraha,https://image.tmdb.org/t/p/w500/7xfWyoz4SF5LHZ713eMtC2aZ0lT.jpg,https://image.tmdb.org/t/p/original/uJvzFtCyJS9G8sUMy6KlzE3aonA.jpg,95,Released,"MNC Pictures, ANP Films"
611059,Wedding Agreement,Wedding Agreement,2019-08-08,2019,7.2,6,0.32,"Hari pertama tiba di rumah Bian, suaminya, Tari langsung dihadapkan pada perjanjian pernikahan yang isinya mengatakan bahwa mereka akan bercerai dalam waktu satu tahun. Bian berencana menikahi Sarah, kekasihnya. Bian melakukan pernikahan hanya demi bakti kepada orang tua. Tari pun tidak menyerah, ia mencoba mengambil hati Bian. Namun, sekuat apapun Tari mencoba, selalu ada Sarah di antara mereka.","Drama, Percintaan",Archie Hekagery,https://image.tmdb.org/t/p/w500/fJI6OR4M4DelA1cVUFZr0G0Owjm.jpg,https://image.tmdb.org/t/p/original/aUTLn6vHeNuKhopeC2yI4hhqqpK.jpg,100,Released,Starvision Plus
595188,Pariban : Idola Dari Tanah Jawa,Pariban : Idola Dari Tanah Jawa,2019-05-09,2019,4.0,2,0.3,"Moan adalah pemuda Batak yang sudah lama tinggal di Jakarta. Meski usianya sudah menginjak 37 tahun, tetapi ia belum punya pacar. Situasi ini membuat ibunya yang bermukim di Samosir pusing. Ia memaksa Moan mudik dan menikah dengan sepupunya, Uli. Di luar dugaan, Uli yang diceritakan sebagai wanita cantik dan mencintai budaya Batak, sudah memiliki kekasih, Binsar.","Drama, Komedi",Andibachtiar Yusuf,https://image.tmdb.org/t/p/w500/2j2TbBjEVKvOQXXS3U0yj7E2xkP.jpg,https://image.tmdb.org/t/p/original/mhhnyMgZEkIGdBsBEnVdcGUzcy2.jpg,104,Released,"Stay Co Media, Agustinus Sitorus Production"
584175,Hit & Run,Hit & Run,2019-06-04,2019,6.3,5,0.29,"Tegar ditugaskan untuk menangkap Coki, seorang gembong narkoba yang kabur dari penjara. Bersama Lio seorang penipu, Meisa, dan Jefri, justru membuatnya semakin sulit.","Aksi, Komedi, Percintaan",Ody C. Harahap,https://image.tmdb.org/t/p/w500/gD6uPp1FLWrtLFCQLj56tEzemJU.jpg,https://image.tmdb.org/t/p/original/aDfyopgzTvtHwMuEpE2Vvb9K5VW.jpg,114,Released,"CJ Entertainment, Nimpuna Sinema, Bukalapak Pictures, Legacy Pictures, Screenplay Films"
554733,Orang Kaya Baru,Orang Kaya Baru,2019-01-24,2019,7.1,14,0.25,"Cerita tentang kaya mendadak yang dialami oleh sebuah keluarga yaitu Ibu (Cut Mini), Ayah (Lukman Sardi) dan tiga anak mereka: Tika (Raline Shah), Duta (Derby Romero), dan Dodi (Fatih Unru). Keluarga ini selalu menjalani kehidupan sehari-sehari mereka dengan serba apa adanya. Ketika sang ayah meninggal, barulah diketahui bahwa selama ini ia ternyata orang yang sangat kaya. Hartanya diwariskan kepada keluarga yang ia tinggalkan  Uang kaget tersebut kemudian digunakan oleh istri dan anak-anaknya. Mereka yang tadinya hidup susah, kini membeli rumah, mobil hingga barang-barang mewah lainnya.","Komedi, Drama",Ody C. Harahap,https://image.tmdb.org/t/p/w500/eY0D2yyRGF2Ah8tanV18xQfkbgO.jpg,https://image.tmdb.org/t/p/original/dgTFp0pkYRmWL7n2XvuAXI9H7An.jpg,96,Released,"Screenplay Films, Legacy Pictures"
611367,Mahasiswi Baru,Mahasiswi Baru,2019-08-08,2019,6.5,6,0.31,"Di usianya yang sudah lanjut, LASTRI (Widyawati) ingin sekali kuliah di perguruan tinggi. Saat menjadi mahasiswi baru, Lastri bersahabat dengan DANNY (Morgan Oey), SARAH (Mikha Tambayong), ERFAN (Umay Shahab) dan REVA (Sonia Alyssa). Mereka pun membentuk sebuah geng. Geng Lastri sering membuat kehebohan di kampus dan menimbulkan kericuhan hingga anak Lastri, ANNA (Karina Suwandi), pusing menghadapi ibunya yang ikut-ikutan bandel seperti pulang larut malam dan sering keluyuran. Anna jadi sering memarahi tingkah laku Lastri seolah memarahi anaknya sendiri.","Komedi, Drama",Monty Tiwa,https://image.tmdb.org/t/p/w500/9WlIH3LOgkCDbbT6BCcJ9gdMXCZ.jpg,https://image.tmdb.org/t/p/original/4Qih29dPAg4Zo0f1GXFbY9DzDOU.jpg,96,Released,MNC Pictures
620570,Kembalinya Anak Iblis,Kembalinya Anak Iblis,2019-09-05,2019,3.5,2,0.28,"Rama, Garin, Farel, Quncy dan Celsi selamat dari terror arwah penasaran di resort Pulau Ayunan yang ternyata menyimpan sejarah mengerikan tentang pembantaian satu keluarga dan karyawan resort. Rama sangat kalut. Kekasihnya masuk rumah sakit jiwa, adiknya, Hana hingga kini jenazahnya belum ditemukan bersama jenazah Fira. Rama memutuskan untuk kembali ke pulau Ayunan untuk mencari jenazah adiknya dan Fira. Dengan panduan sebuah kitab kuno “13 cara menutup Gapuro Tentrem” alias mengembalikan semua arwah penasaran itu pada alamnya hingga tak mengganggu manusia dan memakan korban nyawa lagi, mereka berusaha menemukan jenazah Hana dan Fira, sekaligus menutup terror di Pulau Ayunan selamanya",Kengerian,Rudi Soedjarwo,https://image.tmdb.org/t/p/w500/hMgOGvQqwAHPzukgjmLlb47d58j.jpg,https://image.tmdb.org/t/p/original/comTTVvqw06ijSYqfnn3giMFeiS.jpg,84,Released,RA Pictures
591441,MeloDylan,MeloDylan,2019-04-04,2019,5.3,3,0.22,"Melody pindah sekolah karena menghindari masalah, apalagi ia memiliki masa lalu yang buruk dengan David, mantan kekasihnya. Tetapi di sekolah baru, masalah kembali muncul saat Melody mengenal Dylan, cowok yang selama ini terkenal cool, suka bikin masalah namun tetap menjadi idola karena kegantengannya. Rumor tentang Dylan sudah menjadi rahasia umum. Melody dan Dylan tak menemukan titik temu dalam masalah cinta mereka, sehingga mereka sepakat untuk memutuskan hubungan mereka. Melody baru sadar bahwa cintanya pada Dylan begitu besar. Tetapi, terlambat. Dylan dikirim ayahnya kuliah ke luar negeri. Melody hanya bisa sedih melepas kepergian Dylan. Sebelum berangkat, ternyata Dylan memberikan sebuah video romantis pada Melody. Dengan vidio itu, Dylan mengungkapkan semua isi hatinya. Kejujuran Dylan membuat Melody memiliki harapan baru.",Drama,Fajar Nugros,https://image.tmdb.org/t/p/w500/x78YsKDgCoOdj09QRuuvAsJRpQy.jpg,https://image.tmdb.org/t/p/original/mPh7ceNY8zxwAaUipmJmTgbb1AL.jpg,92,Released,Intercept Filmcraft
